Producto, Unidades ,Factura
48443,1,799186
42877,1,717106
48296,1,468125
34704,1,176490
47158,2,674550
1978,2,541537
23723,1,701518
17482,1,140464
5807,1,733300
840,1,776365
34068,1,363898
35440,1,723557
4621,1,244495
47360,1,720194
20650,1,626400
28133,1,320393
18164,1,699214
20254,1,730593
17737,1,776279
37584,1,260402
23248,1,757076
20800,1,260874
17165,1,324587
23566,1,318384
17515,1,511357
38215,1,780771
43296,1,743446
24371,1,926318
34483,1,711742
39526,1,715720
41621,1,735173
37450,1,580710
34386,1,540973
17449,1,328297
27452,1,737304
41643,1,746624
3003,1,726064
35440,1,744575
672,1,580779
35184,2,711134
9256,1,467663
23308,1,832562
37202,1,829767
42148,1,177894
8290,1,647343
41916,1,140054
34666,1,321971
34112,1,336654
17437,1,541502
47201,1,807132
34327,1,734695
43947,1,641876
44471,1,125806
30213,1,513895
17138,1,326696
17662,1,544034
45156,1,785166
37177,1,829219
34097,1,619310
36065,1,663228
48443,1,781274
19250,1,710134
40280,1,317893
199,1,646518
47825,1,794531
35303,1,792184
38524,1,700105
47117,1,705385
47993,1,324045
24335,1,719498
34109,1,680722
17259,1,513635
44042,1,81792
35617,1,662119
17193,1,750180
34673,1,703027
37583,2,468603
20190,1,661497
24415,1,541400
23292,1,699050
3067,1,176054
34358,1,662631
24155,1,777980
46866,1,126732
15196,1,391365
24333,1,701872
35221,1,812827
34387,1,796735
34324,1,592053
18704,1,627122
38993,1,721163
35769,1,324579
34483,1,372940
34768,1,541970
16983,1,182492
2646,1,661171
17482,1,743670
45149,1,326190
43834,1,176232
41794,1,447933
34308,1,827016
34488,1,687836
34302,2,654985
18747,4,668559
35693,1,703422
34239,1,322976
34264,1,640763
34248,1,706932
2667,1,7633
37645,1,613706
39353,1,468679
17435,2,717313
26831,1,724391
17191,1,692492
17197,1,324320
2817,1,543651
24453,1,391019
199,1,695073
17420,1,644574
17437,1,325046
24471,2,681684
47676,1,634655
17481,1,830187
23338,1,323444
23723,1,798869
14901,1,326811
46915,1,537588
18535,1,814402
18251,1,28239
42825,1,322080
23558,1,805650
47297,1,652831
34321,1,672853
34389,1,613985
34018,1,725579
34484,1,512500
48006,1,623986
34332,1,447717
17841,1,723522
30777,1,739538
24415,1,764968
50904,1,816615
18451,1,624347
13307,1,98422
30416,1,926142
23558,1,543782
17155,1,318273
45713,1,682776
35577,1,336101
38167,1,176777
17165,1,541469
16972,1,627571
34425,2,748323
24035,1,710844
34811,1,794272
42713,1,300321
40655,1,798710
17793,1,336028
5807,1,830980
19646,1,723707
41647,1,830741
34100,1,611219
44563,1,614604
39825,1,733093
35952,1,744462
18535,1,465886
23292,1,805768
28005,1,337167
23809,1,642363
17537,1,713196
17497,1,734248
46914,1,729456
35241,1,829053
17244,1,609036
24335,2,925720
41563,1,575603
24415,1,651471
34696,1,773386
1989,1,690203
44298,1,664425
39636,1,80869
17427,1,541370
10492,1,797076
17534,1,632495
2705,1,610684
9682,3,542189
34742,1,336019
41642,1,723159
34059,1,712248
36014,1,234443
35096,1,540037
17257,1,725764
42877,1,572892
160,1,11472
34483,1,684957
41396,1,724107
27714,1,757113
40874,1,544062
34437,1,602723
17420,1,322813
34280,1,748990
961,1,706655
34568,1,791244
27954,1,126372
24371,1,725875
35617,1,98289
44251,1,758909
23624,1,582711
47949,1,645549
18267,1,927089
15236,1,690342
41261,1,788243
46888,1,776673
30213,1,647343
17387,1,791519
47755,1,733949
34028,1,735913
34369,1,627827
34081,1,831097
34634,1,724811
34741,1,679310
17218,1,684853
17420,1,748653
17257,1,728276
34182,1,657750
38993,1,182402
3283,1,735018
34813,1,723671
16983,1,757275
17147,1,708787
47292,1,491714
41904,3,657731
47240,2,745438
47212,1,768255
41645,1,179110
34112,2,687885
34028,1,923559
24335,1,924751
34239,1,767792
24035,1,726419
17420,1,467425
28004,1,751940
34280,1,754480
17154,1,824626
34324,1,925545
34672,2,802654
35365,1,260356
17387,1,512395
45697,1,323784
34112,1,623881
28342,1,695642
34483,1,16997
47259,1,724377
35972,4,606225
12984,1,790091
24335,1,679590
34249,1,649600
46277,1,175907
19854,1,689628
24371,1,654963
18702,1,749078
37049,1,177233
35191,1,634620
34092,1,798319
34083,1,759479
2504,1,714077
21493,1,654785
39343,1,11503
20752,1,390893
41703,1,637697
35038,1,702469
47943,1,829431
47785,1,362999
34239,1,631654
35034,1,402104
47292,1,809196
1552,1,617757
2476,1,643432
39533,1,700091
29863,1,630784
48396,1,125821
34742,1,629156
34742,12,924769
33929,1,735881
46817,1,335089
34568,1,718903
38767,1,704633
13307,1,467737
35461,1,828597
36111,1,613755
20626,1,831568
34083,1,175491
35096,4,324479
23248,1,678628
16093,1,318409
20458,1,703422
24116,2,764175
27441,1,370276
37159,1,720450
24453,1,512717
34820,1,183751
17155,1,178694
34098,1,695055
20659,2,600111
16983,1,779958
37584,2,830789
34043,2,831326
20752,1,747522
47297,1,337246
17385,1,714195
24356,1,656028
41642,1,783094
19626,1,363731
34425,1,693907
34083,1,701248
39149,1,831698
18164,1,495540
34742,1,540935
14511,1,706831
25008,1,468167
3050,1,513925
51183,1,830087
1927,1,730728
34112,1,792827
24371,1,539772
17154,1,706108
17377,1,233702
2116,1,370959
18704,1,734492
34299,1,709766
34160,1,689867
34090,6,813568
34437,1,638727
47240,1,692074
38993,1,328017
22519,1,820848
34112,1,543138
17533,1,569377
16933,1,711497
16661,1,539701
48232,2,771144
2405,1,373074
34357,1,756923
1878,1,680891
34068,1,694352
20639,1,172156
46817,1,677123
47240,1,670064
17272,3,735789
24035,1,714844
47949,1,98128
39975,1,322217
34759,1,747820
22010,1,544356
34415,1,808732
34386,1,694352
34455,1,820021
40053,1,335196
40663,1,668109
34090,1,731147
35037,1,599746
34386,1,829500
35066,1,757668
46926,1,178684
1924,1,593979
20369,1,695593
37583,1,772183
18144,1,322844
199,1,745214
34388,1,81587
16996,1,654590
27539,1,689694
1899,1,782054
35370,1,826593
34239,1,468515
49566,1,233931
48394,1,258371
47681,1,792751
34028,1,648840
19413,1,675850
17737,1,711405
34568,1,615401
34324,1,636370
17439,1,721915
17674,1,829638
34742,1,175012
41642,1,830005
23290,1,98475
47292,1,701506
34579,1,687337
27567,2,699291
34742,1,702469
23669,1,829688
19810,1,322155
17497,1,722447
17141,1,317945
34379,1,659658
2317,1,657173
14263,1,633111
46817,1,769476
34742,1,641843
16938,1,323202
34369,1,16867
33835,1,635605
24338,1,695982
46894,1,685289
2556,1,336023
24467,1,724668
34425,1,361632
34581,1,467033
47237,1,808336
17841,1,28550
20673,1,710313
35210,1,183087
34483,1,336864
34069,1,178006
17115,1,243230
17387,1,788080
