Tipo Unidad,Modelo,Marca,Capacidad en m3
MANAGER FURGON L2H2,2021,PEUGEOT             ,12
MANAGER FURGON L2H2,2021,PEUGEOT         ,12
ELF 300             ,2015,ISUZU               ,20
ELF 300             ,2013,ISUZU               ,20
ELF 300             ,2013,ISUZU               ,20
CHASIS CABINA       ,2021,NISSAN              ,15
CHASIS CABINA       ,2020,NISSAN              ,12
CHASIS CABINA       ,2020,NISSAN              ,12
CHASIS CABINA       ,2020,NISSAN              ,12
CHASIS CABINA       ,2015,NISSAN              ,10
CHASIS CABINA       ,2020,NISSAN              ,12
716 LONG SERIE 300  ,2019,HINO                ,25
716 LONG SERIE 300  ,2019,HINO                ,25
716 LONG SERIE 300  ,2019,HINO                ,25
514 SEMI LONG S 300,2019,HINO                ,23
