Clave Materia,Nombre Materia Largo,Numero Grupo,Crn,Total Alum Inscritos
WKAB1003S,Mi selfi de hoy,100,14017,27
WKLI1012S,Conquista tus límites,100,39135,25
M1002S,Taller de certificación en ingeniería,101,34218,40
WKIT1002S,Semana 18 IIT-3,301,34458,29
RI1002S,Diversidad en un mundo globalizado,200,16684,12
H1001S,Inducción al servicio social,100,16677,26
H1001S,Inducción al servicio social,101,16679,24
H1001S,Inducción al servicio social,200,16681,22
H1001S,Inducción al servicio social,202,16683,25
H1001S,Inducción al servicio social,102,16680,24
H1001S,Inducción al servicio social,201,16682,24
IN2002S,Visualización estratégica de datos,101,34090,14
MR2001S,Competencia mecatrónica,101,33923,13
M1002S,Taller de certificación en ingeniería,101,34218,40
CF1001S,Excel como herramienta en la toma de decisiones,119,36342,30
CF1001S,Excel como herramienta en la toma de decisiones,120,36596,28
EM1001S,Emprende con propósito,106,13834,25
EM1001S,Emprende con propósito,206,13851,31
EM1001S,Emprende con propósito,207,13852,11
AD2001S,Finanzas estratégicas,118,36308,20
WKAB1003S,Mi selfi de hoy,100,14017,27
WKAB1005S,Tu reto de 7 días: tu bienestar,200,14018,28
WKAB1002S,Ponle play a tu bienestar,100,13905,28
WKLI1012S,Conquista tus límites,100,39135,25
WKLI1007S,Ikigai: Construye tus sueños,200,39134,19
WKES1002S,Semana 18 Estudios creativos-1 (Humanidades),300,16678,19
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,34219,18
WKIN1001S,Semana 18 Ingeniería-1,302,15666,20
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,202,34220,16
WKIN1001S,Semana 18 Ingeniería-1,300,22452,21
WKIN1001S,Semana 18 Ingeniería-1,301,15658,27
WKIN1002S,Semana 18 Ingeniería-2,300,15642,2
WKII2001S,SEMANA 18 ENFOQUE IIS-5,301,34094,19
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,301,33924,18
WKFZ2003S,Semana 18 Enfoque LAF-5,320,35847,16
WKFZ2001S,EVALUACIÓN ETAPA INTERMEDIA - LAF,220,35841,17
WKAD2007S,Semana 18 Enfoque LAE-5,317,35186,14
WKAD2001S,EVALUACIÓN ETAPA INTERMEDIA - LAE,217,35185,10
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,215,36580,28
WKNE1001S,Semana 18 Negocios-1,307,13555,26
WKNI2005S,Semana 18 Enfoque LIN-5,321,36105,9
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,214,36492,29
WKNI2001S,EVALUACIÓN ETAPA INTERMEDIA - LIN,221,36104,10
WKNE1004S,Semana 18 Negocios-3,315,36598,30
WKNE1001S,Semana 18 Negocios-1,306,13554,27
WKNE1004S,Semana 18 Negocios-3,314,36597,30
WKVP3003S,El arte de comunicar tu marca,1,38385,13
WKAR2004S,Semana 18 Enfoque ARQ-3,301,36741,20
WKD3001S,Evaluación Etapa Final - LED,212,24330,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKCT1001S,EVALUACIÓN ETAPA INICIAL - ICT,200,39425,28
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKBQ1001S,EVALUACIÓN ETAPA INICIAL - IBQ,200,39417,19
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,200,39427,23
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,39428,24
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
M1002S,Taller de certificación en ingeniería,200,40372,5
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
SD1023S,Investigación en salud,100,31023,14
WKSD1004S,Semana 18 Salud -3,300,31042,21
WKSD1001S,Semana 18 Salud-1,300,15356,20
WKSD1001S,Semana 18 Salud-1,301,15357,12
WKSD1003S,EVALUACIÓN ETAPA INICIAL - SALUD,200,37009,20
AR2001S,Visualización de datos urbanos,201,40398,6
AR1001S,Representación significativa,101,36729,23
RI1002S,Diversidad en un mundo globalizado,111,31732,25
RI1002S,Diversidad en un mundo globalizado,210,31745,27
RI1002S,Diversidad en un mundo globalizado,113,31734,25
RI1002S,Diversidad en un mundo globalizado,112,31733,21
RI1002S,Diversidad en un mundo globalizado,110,31731,29
RI1002S,Diversidad en un mundo globalizado,115,31744,20
RI1002S,Diversidad en un mundo globalizado,114,31743,20
D1001S,Derecho y tecnología,220,40733,10
D1001S,Derecho y tecnología,106,28998,25
H1001S,Inducción al servicio social,100,15568,25
H1001S,Inducción al servicio social,101,15569,24
H1001S,Inducción al servicio social,105,15573,24
H1001S,Inducción al servicio social,203,15577,23
H1001S,Inducción al servicio social,204,15578,25
H1001S,Inducción al servicio social,201,15575,25
H1001S,Inducción al servicio social,103,15571,24
H1001S,Inducción al servicio social,107,26997,24
H1001S,Inducción al servicio social,205,26998,25
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,108,33507,18
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,205,15580,15
H1001S,Inducción al servicio social,200,15574,25
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,106,15579,20
H1001S,Inducción al servicio social,104,15572,24
BT2001S,Detectives de microbios: descubriendo el mundo microscópico,200,39429,13
F1001S,Taller de escritura científica,200,39431,21
IN2004S,Diseño y distribución de plantas inteligentes,200,40233,13
MR1001S,Simulación y modelación en ingeniería,200,40221,25
M1002S,Taller de certificación en ingeniería,200,40372,5
SD1023S,Investigación en salud,100,31023,14
CF1001S,Excel como herramienta en la toma de decisiones,102,33126,22
EM1001S,Emprende con propósito,202,14061,26
EM1001S,Emprende con propósito,205,20836,26
EM1001S,Emprende con propósito,101,14046,23
EM1001S,Emprende con propósito,204,20818,26
EM1001S,Emprende con propósito,103,14048,26
EM1001S,Emprende con propósito,203,14062,27
EM1001S,Emprende con propósito,100,14045,26
EM1001S,Emprende con propósito,201,14060,25
EM1001S,Emprende con propósito,104,20817,24
EM1001S,Emprende con propósito,102,14047,23
EM1001S,Emprende con propósito,200,14049,27
AD2001S,Finanzas estratégicas,100,33675,23
AD1002S,Bootcamp de liderazgo para mujeres,101,33120,18
RH1003S,Liderazgo positivo,105,39952,22
RH1003S,Liderazgo positivo,103,33127,30
RH1001S,Liderazgo multigeneracional,104,39375,24
WKAB1001S,Un viaje a mi interior,2,25499,24
WKLI1006S,El arte de emocionarte,2,23446,30
WKLI1006S,El arte de emocionarte,1,23428,29
WKVP3003S,El arte de comunicar tu marca,1,38385,13
WKAR2007S,Semana 18 Enfoque ARQ-5,301,40247,25
WKAR2004S,Semana 18 Enfoque ARQ-3,301,36741,20
WKAR2002S,EVALUACIÓN ETAPA INTERMEDIA - ARQ,201,36726,22
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),301,28431,28
WKSO1001S,Semana 18 Ciencias Sociales-1,300,11156,27
WKD3001S,Evaluación Etapa Final - LED,212,24330,13
WKSO1003S,EVALUACIÓN ETAPA INICIAL - CIENCIAS SOCIALES,201,23918,27
WKD2002S,Semana 18 Enfoque LED-3,305,24153,26
WKD2001S,Semana 18 Enfoque LED-5,306,24202,16
WKD2005S,EVALUACIÓN ETAPA INTERMEDIA - LED,211,24315,16
WKES1002S,Semana 18 Estudios creativos-1 (Humanidades),301,30447,3
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKCT1001S,EVALUACIÓN ETAPA INICIAL - ICT,200,39425,28
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,200,39427,23
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,39428,24
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKBQ1001S,EVALUACIÓN ETAPA INICIAL - IBQ,200,39417,19
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKII2003S,EVALUACIÓN ETAPA INTERMEDIA - IIS,200,40082,2
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2003S,EVALUACIÓN ETAPA INTERMEDIA - IM,200,40487,1
WKSD1003S,EVALUACIÓN ETAPA INICIAL - SALUD,200,37009,20
WKSD1004S,Semana 18 Salud -3,300,31042,21
WKSD1001S,Semana 18 Salud-1,301,15357,12
