date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
01/01/22 0:00,1.62,2.5,21.6,24.1,33,106,53,711.4,0,43,4.8,0,20.77,4.4,215
01/01/22 1:00,1.33,2.5,12.9,15.5,36,89,49,711.3,0,46,4.4,0,19.7,4.8,202
01/01/22 2:00,1.29,2.6,14.9,17.5,34,77,39,711.3,0,43,4.1,0,19.37,5.8,233
01/01/22 3:00,1.4,2.8,21.2,24,25,54,35,711.1,0,45,4.7,0,19.26,6,236
01/01/22 4:00,1.39,2.8,19.8,22.6,22,68,35,711.1,0,44,4.3,0,19.12,4.8,150
01/01/22 5:00,1.23,2.7,15.2,17.9,23,60,27,711.1,0,42,4.1,0,18.72,5.6,243
01/01/22 6:00,1.12,2.4,13.1,15.5,23,50,22,711.1,0,37,3.8,0,19.45,4.6,171
01/01/22 7:00,1.1,3.1,14.5,17.7,20,37,13,711.3,0,34,3.7,0,19.71,5.9,262
01/01/22 8:00,0.81,2.6,5.5,8.2,24,40,7,711.4,0,24,3.8,0.005,23.72,10.2,238
01/01/22 9:00,0.78,3,4.4,7.5,25,36,7,711.6,0,22,4,0.07,25.55,9.8,249
01/01/22 10:00,0.86,4.7,8,12.7,23,34,NULL,711.9,0,24,3.7,0.295,25.63,6.9,88
01/01/22 11:00,0.79,3.3,5.1,8.5,29,34,3,712,0,19,3.7,0.449,29.94,9.5,77
01/01/22 12:00,0.76,3.4,4.4,7.9,32,90,7,711.9,0,15,4.3,0.544,32.12,16.6,289
01/01/22 13:00,0.75,3.3,4.4,7.8,37,205,7,711.5,0,9,3.2,0.468,33.27,19.6,296
01/01/22 14:00,0.74,3.2,4.5,7.8,40,150,8,711.3,0,7,4.3,0.585,33.5,22.2,291
01/01/22 15:00,0.74,3.3,5.1,8.5,41,191,5,711.1,0,6,3.8,0.503,33.75,22,288
01/01/22 16:00,0.73,3.2,5.3,8.6,41,86,5,711.1,0,5,3.1,0.368,33.75,20,286
01/01/22 17:00,0.74,3.1,6.1,9.2,41,59,3,711.2,0,5,3.3,0.203,33.51,19.2,285
01/01/22 18:00,0.81,2.7,9.6,12.3,37,29,NULL,711.4,0,6,3.1,0.052,31.94,10.6,249
01/01/22 19:00,0.84,2.7,11.1,13.9,32,29,2,711.8,0,9,3,0,29.19,8.7,215
01/01/22 20:00,1.02,3.7,17.2,21,24,27,8,712,0,12,2.9,0,26.96,5.6,170
01/01/22 21:00,1.01,3.5,14.1,17.6,24,26,5,712.2,0,14,2.9,0,25.3,4.9,219
01/01/22 22:00,1.06,3.7,17.2,21,21,27,11,712.3,0,16,2.9,0,24.22,7.8,238
01/01/22 23:00,0.95,2.7,12,14.7,26,29,9,712.5,0,17,3.2,0,23.49,6.5,224
02/01/22 0:00,1.09,8.3,18.3,26.7,18,26,11,712.5,0,20,3.4,0,22.1,6,262
02/01/22 1:00,0.9,3.1,9.3,12.5,27,30,7,712.7,0,20,3.2,0,21.86,7.4,241
02/01/22 2:00,0.81,2.4,5.1,7.6,31,20,7,712.9,0,21,3.1,0,21.4,7.8,251
02/01/22 3:00,0.78,2.3,3.5,5.8,32,17,5,713.1,0,22,2.9,0,21.19,7.6,237
02/01/22 4:00,0.81,2.3,6.6,9,29,18,7,713.4,0,22,3.2,0,20.92,7.5,241
02/01/22 5:00,0.83,NULL,5.4,7.9,35,65,12,713.9,0,20,3.7,0,20.33,25.1,109
02/01/22 6:00,0.8,NULL,4.8,7.2,36,169,8,714.6,0,20,4,0,18.75,24.3,106
02/01/22 7:00,0.79,2.4,5.7,8.1,33,113,9,715,0,24,4.2,0,16.97,22.4,112
02/01/22 8:00,0.88,2.6,8.8,11.4,27,97,11,715.6,0,33,4.7,0.006,14.37,21.5,107
02/01/22 9:00,0.89,5.3,13.3,18.6,23,107,10,716.3,0,36,7.4,0.107,12.13,20,88
02/01/22 10:00,0.87,7.8,11.8,19.5,22,111,11,716.9,0,37,9.2,0.303,10.25,20.7,76
02/01/22 11:00,0.88,8.5,10.5,19.1,22,101,13,717.4,0,36,8.7,0.448,10.03,18.4,87
02/01/22 12:00,0.91,8.2,10.4,18.6,25,87,7,717.5,0,32,7.9,0.546,10.91,16.2,76
02/01/22 13:00,0.9,6.7,9.5,16.2,28,89,9,717.3,0,29,5.8,0.474,12.2,15.1,81
02/01/22 14:00,0.88,5.3,8.1,13.4,33,79,4,717,0,28,4.2,0.565,12.88,17.1,71
02/01/22 15:00,0.9,5.1,8.5,13.6,34,61,8,716.9,0,26,4.1,0.491,13.61,16.9,65
02/01/22 16:00,0.89,4.9,8.9,13.8,33,53,7,716.9,0,25,4.7,0.363,13.64,16,70
02/01/22 17:00,0.91,4.4,10.3,14.7,32,51,5,717.1,0,24,6.4,0.187,13.39,14.1,76
02/01/22 18:00,0.92,3.1,10.6,13.8,31,50,9,717.4,0,25,5.9,0.042,12.02,15,83
02/01/22 19:00,0.95,3.3,13.2,16.5,28,50,7,717.6,0,25,5,0,10.75,14.5,83
02/01/22 20:00,0.97,2.9,18.5,21.4,23,48,8,718,0,24,5.2,0,9.92,16,83
02/01/22 21:00,0.98,3,20.2,23.2,22,40,8,718.2,0,23,7.2,0,9.16,14,86
02/01/22 22:00,0.96,3.1,19.7,22.8,22,33,NULL,718.4,0,23,8.7,0,8.79,12,83
02/01/22 23:00,0.99,2.7,21.3,24.1,21,39,9,718.5,0,23,5.2,0,8.33,12.5,82
03/01/22 0:00,1.04,2.9,22.7,25.7,19,28,5,718.5,0,23,6.3,0,8.05,12.5,103
03/01/22 1:00,0.85,2.3,11.1,13.5,29,24,7,718.4,0,27,4.2,0,7.87,11.6,86
03/01/22 2:00,0.77,2.2,4,6.3,36,25,7,718.3,0,28,2.9,0,7.26,10.5,79
03/01/22 3:00,0.77,2.2,4.4,6.7,35,22,3,718.3,0,28,3,0,6.67,9.1,86
03/01/22 4:00,0.76,2.1,4,6.2,34,16,4,718.1,0,30,2.9,0,6.05,7.5,107
03/01/22 5:00,0.78,2.1,5,7.3,31,15,2,718,0,33,2.9,0,5.77,8,108
03/01/22 6:00,0.78,2.6,7.6,10.3,32,15,4,718,0,29,3.5,0,5.75,7.8,87
03/01/22 7:00,0.93,4.4,20.5,24.9,15,20,8,718.2,0,35,3.8,0,4.66,5.1,221
03/01/22 8:00,0.95,5.7,19.1,24.8,16,34,6,718.4,0,36,3.4,0.006,4.33,3.2,222
03/01/22 9:00,1.05,11.7,23.8,35.5,15,21,5,718.5,0,31,3.4,0.113,6.79,4.8,123
03/01/22 10:00,1.14,17.6,25.8,43.4,18,26,8,718.7,0,26,3.5,0.31,8.4,7.2,81
03/01/22 11:00,1.05,12.7,19,31.7,25,32,10,718.6,0,25,3.1,0.457,9.94,8.7,81
03/01/22 12:00,1.04,13.9,20.3,34.2,28,41,6,718.3,0,23,5.8,0.553,10.37,13,66
03/01/22 13:00,0.97,11,18.6,29.6,32,48,9,717.8,0,22,6.2,0.476,11.11,15.8,68
03/01/22 14:00,0.97,9.2,16.4,25.6,35,52,6,717.2,0,22,4.5,0.568,12.12,16.9,54
03/01/22 15:00,0.93,7.2,14.7,21.8,38,46,6,716.8,0,22,4.7,0.487,13.1,17.7,59
03/01/22 16:00,0.96,8.4,17.7,26.1,36,47,7,716.6,0,22,4.4,0.359,13.94,18.5,49
