tweet,tokens,text_clean,sentimiento_bert,cluster,Clasificacion
"Resuelto, muchísimas gracias , excelente servicio como siempre","['resuelto', 'muchisimas', 'gracias', 'excelente', 'servicio', 'siempre']",resuelto muchisimas gracias excelente servicio siempre,5 stars,0,servicio
"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.","['recomiendo', 'inversion', 'mejores', 'rendimientos', 'visto', 'plazo', '7', 'dias', 'tambien', 'chingon', 'limite', '20k', 'inverson']",recomiendo inversion mejores rendimientos visto plazo 7 dias tambien chingon limite 20k inverson,5 stars,0,rendimiento
Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,"['respetos', 'ustedes', 'gracias', 'servicio']",respetos ustedes gracias servicio,5 stars,0,servicio
Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,"['siii', 'amigo', 'jajaja', 'padre', 'puedes', 'inveir', 'da', 'buen', 'rendimiento']",siii amigo jajaja padre puedes inveir da buen rendimiento,5 stars,0,rendimiento
"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.","['35000', 'udis', '184000de', 'todas', 'plataformas', 'inveido', 'mejores', 'finsus', 'cetes', 'largo', 'plazo', 'heybanco', 'mejor', 'opcion', 'fondo', 'emergencia', 'liquidez', 'semanal', 'finsus', 'rededor', '90', 'poafolio']",35000 udis 184000de todas plataformas inveido mejores finsus cetes largo plazo heybanco mejor opcion fondo emergencia liquidez semanal finsus rededor 90 poafolio,5 stars,0,banco
"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito","['heybanco', 'anos', 'cliente', 'bancomer', 'encontre', 'verdad', 'agusto', 'servicios', 'app', 'tarjetas', 'debito', 'credito']",heybanco anos cliente bancomer encontre verdad agusto servicios app tarjetas debito credito,5 stars,0,servicio
Por eso son mi banco 1 ⭐⭐⭐⭐⭐,"['banco', '1']",banco 1,5 stars,0,banco
"Increíble, gracias HeyBanco!!@heybanco","['increible', 'gracias', 'heybancoheybanco']",increible gracias heybancoheybanco,5 stars,0,banco
"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento","['sexta', 'opcion', 'opcion', 'mejores', 'pagare', '7', 'dias', 'mejor', 'mercado', 'tasa', '10', 'anual', 'solo', 'inversion', 'aqui', '5000', 'plan', 'metas', 'dan', 'rendimiento', 'mes', 'vencido', '4', 'dinero', 'disponible', 'cualquier', 'momento']",sexta opcion opcion mejores pagare 7 dias mejor mercado tasa 10 anual solo inversion aqui 5000 plan metas dan rendimiento mes vencido 4 dinero disponible cualquier momento,5 stars,0,rendimiento
te lo súper recomiendo. Y no te cobran el plástico.,"['super', 'recomiendo', 'cobran', 'plastico']",super recomiendo cobran plastico,5 stars,0,recomi
"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.","['muchas', 'gracias', 'equipo', 'ayudo', 'resolver', 'problema', 'dieron', 'recompensa', 'gane']",muchas gracias equipo ayudo resolver problema dieron recompensa gane,5 stars,0,recompensa
Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,"['gracias', 'premio', 'boletodorado', 'canjee', 'tarjeta', 'regalo']",gracias premio boletodorado canjee tarjeta regalo,5 stars,0,tarjeta
cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,"['daran', 'credito', 'tradicional', 'llevo', 'mas', 'ano', 'tarjeta', 'credito', 'garantia', 'cumplido', 'pagos', 'tiempo', 'forma']",daran credito tradicional llevo mas ano tarjeta credito garantia cumplido pagos tiempo forma,5 stars,0,tarjeta
